oid,pelanggan,resto,menu,harga,prioritas,t_masuk_detik,t_selesai_detik,status
O-000001,Rahmi Simanjuntak,kafe-teknik,roti-bakar,12000,3,47985,,CANCEL
O-000002,Cici Handayani,kedai-kopi,bubur-ayam,11000,3,59780,62115,DONE
O-000003,Malika Dabukke,warung-bu-ida,mie-goreng,13000,3,39641,40026,DONE
O-000004,"Oskar Puspita, S.Sos",kafe-teknik,nasi-padang,25000,2,29632,,CANCEL
O-000005,"R. Ratna Susanti, S.Pt",bakso-pak-yon,nasi-campur,20000,1,74921,77006,DONE
O-000006,"Dr. Raina Firmansyah, S.I.Kom",kafe-teknik,ayam-geprek,19000,3,30415,31330,DONE
O-000007,Usyi Dongoran,warung-bu-ida,kentang-goreng,14000,2,66262,68612,DONE
O-000008,Tgk. Radika Tampubolon,kedai-kopi,iga-penyet,27000,2,31196,32651,DONE
O-000009,"Hj. Ani Hartati, S.Pt",kantin-asrama,bubur-ayam,11000,3,67723,68563,DONE
O-000010,T. Rafid Usamah,kantin-pusat,sate-ayam,24000,3,40015,40765,DONE
O-000011,Ami Pangestu,kedai-kopi,gado-gado,15000,2,62880,,ANTRE
O-000012,Gandewa Pradipta,bakso-pak-yon,sate-ayam,24000,2,63199,65169,DONE
O-000013,"Dt. Wasis Rajasa, S.Farm",kantin-asrama,pecel-lele,18000,3,46187,,CANCEL
O-000014,"Teguh Tarihoran, M.Ak",warung-bu-ida,gado-gado,15000,1,67785,68480,DONE
O-000015,"Drs. Irma Widiastuti, M.Ak",kedai-kopi,mie-ayam,13000,2,60185,62420,DONE
O-000016,Karimah Megantara,kedai-kopi,nasi-goreng,15000,2,47555,49040,DONE
O-000017,Lasmanto Haryanto,kedai-kopi,air-mineral,4000,2,66388,68643,DONE
O-000018,Liman Melani,kedai-kopi,gado-gado,15000,3,42599,44934,DONE
O-000019,Kamaria Hidayanto,bakso-pak-yon,es-campur,12000,3,47766,48191,DONE
O-000020,Laras Wacana,kantin-asrama,mie-ayam,13000,2,39829,40009,DONE
O-000021,Ir. Safina Mahendra,kantin-pusat,gorengan,6000,3,53657,54142,DONE
O-000022,Malik Santoso,warung-bu-ida,juice-alpukat,17000,2,71610,72185,DONE
O-000023,Ina Dongoran,kafe-teknik,mie-goreng,13000,2,69260,,CANCEL
O-000024,Hani Marbun,warung-bu-ida,sate-ayam,24000,1,60199,,CANCEL
O-000025,Yuni Santoso,kedai-kopi,teh-tarik,9000,2,33508,34468,DONE
O-000026,Cengkir Dabukke,kedai-kopi,mie-ayam,13000,3,53622,53837,DONE
O-000027,"Praba Tarihoran, S.Sos",kantin-pusat,air-mineral,4000,2,71788,73938,DONE
O-000028,T. Panji Rahayu,kedai-kopi,ayam-geprek,19000,2,68575,69065,DONE
O-000029,"Jessica Adriansyah, M.Kom.",warung-bu-ida,soto-ayam,14000,2,36656,37946,DONE
O-000030,H. Bakiman Maryadi,kafe-teknik,bakso,16000,2,62338,63538,DONE
O-000031,Asirwanda Utama,kafe-teknik,soto-ayam,14000,2,30525,31860,DONE
O-000032,Kacung Handayani,kafe-teknik,teh-tarik,9000,3,63315,,CANCEL
O-000033,"Tgk. Harimurti Widodo, S.E.",kedai-kopi,gado-gado,15000,2,63456,65326,DONE
O-000034,"Ir. Akarsana Hartati, M.Pd",warung-bu-ida,pecel-lele,18000,2,40888,41848,DONE
O-000035,"Ir. Jinawi Usada, S.Gz",warung-bu-ida,nasi-padang,25000,2,46411,47786,DONE
O-000036,Padma Megantara,kantin-pusat,nasi-padang,25000,3,38925,41140,DONE
O-000037,"R.M. Liman Hastuti, S.E.",kedai-kopi,bakso,16000,2,23125,24955,DONE
O-000038,"Dr. Darmana Winarsih, S.Sos",warung-bu-ida,teh-tarik,9000,2,40045,42390,DONE
O-000039,Salwa Ramadan,warung-bu-ida,mie-goreng,13000,2,64747,66512,DONE
O-000040,Wakiman Adriansyah,bakso-pak-yon,mie-goreng,13000,2,70536,72156,DONE
O-000041,Cengkir Dabukke,bakso-pak-yon,roti-bakar,12000,1,62779,63394,DONE
O-000042,Banawa Samosir,kantin-pusat,nasi-campur,20000,2,64239,,CANCEL
O-000043,Hasta Maheswara,warung-bu-ida,juice-alpukat,17000,2,51447,52432,DONE
O-000044,R.A. Dina Utama,kantin-pusat,es-teh,5000,2,43811,44026,DONE
O-000045,Oskar Winarsih,warung-bu-ida,kopi-susu,18000,3,38018,39673,DONE
O-000046,R. Satya Yuliarti,kantin-asrama,bubur-ayam,11000,2,60478,61688,DONE
O-000047,Cawuk Hassanah,kantin-asrama,nasi-padang,25000,2,41556,,CANCEL
O-000048,Abyasa Hartati,kedai-kopi,juice-alpukat,17000,3,45437,47497,DONE
O-000049,Dr. Oliva Maryati,warung-bu-ida,kopi-susu,18000,3,65944,,ANTRE
O-000050,Maimunah Natsir,kantin-asrama,ayam-geprek,19000,1,50732,51787,DONE
O-000051,"Kunthara Nuraini, S.Farm",kantin-asrama,roti-bakar,12000,2,33405,33680,DONE
O-000052,"Dr. Karsana Nugroho, S.Sos",kafe-teknik,es-campur,12000,2,74475,75740,DONE
O-000053,Abyasa Mandasari,kafe-teknik,ayam-bakar,22000,2,46497,,CANCEL
O-000054,"Ana Prasasta, S.Gz",kedai-kopi,es-teh,5000,3,70069,,CANCEL
O-000055,"R.M. Maman Mangunsong, S.Farm",kedai-kopi,mie-ayam,13000,2,39871,41436,DONE
O-000056,drg. Yoga Riyanti,kantin-asrama,ayam-geprek,19000,1,37534,37939,DONE
O-000057,"Kuncara Tarihoran, S.Pd",kantin-pusat,gado-gado,15000,2,66782,68292,DONE
O-000058,Safina Winarno,bakso-pak-yon,es-teh,5000,2,54378,54703,DONE
O-000059,Puput Damanik,kafe-teknik,mie-ayam,13000,2,79141,81131,DONE
O-000060,Pandu Prabowo,bakso-pak-yon,juice-alpukat,17000,2,42892,43987,DONE
O-000061,Timbul Palastri,bakso-pak-yon,sate-ayam,24000,2,70712,71372,DONE
O-000062,Ajiman Rajasa,kantin-pusat,sate-ayam,24000,2,67007,68982,DONE
O-000063,Tami Hidayat,kafe-teknik,gorengan,6000,3,48557,,ANTRE
O-000064,drg. Cawuk Budiyanto,kantin-asrama,roti-bakar,12000,2,72150,72885,DONE
O-000065,"Dr. Jessica Budiman, S.Gz",bakso-pak-yon,air-mineral,4000,2,75117,76617,DONE
O-000066,Oliva Palastri,warung-bu-ida,gado-gado,15000,2,23924,,ANTRE
O-000067,drg. Ani Mandala,kafe-teknik,kopi-susu,18000,3,31311,,CANCEL
O-000068,H. Jumari Salahudin,bakso-pak-yon,kopi-susu,18000,2,56252,57422,DONE
O-000069,Yuni Winarno,kafe-teknik,bubur-ayam,11000,3,57324,59579,DONE
O-000070,Jamalia Lestari,kantin-pusat,es-teh,5000,2,36816,37411,DONE
O-000071,Drajat Mansur,warung-bu-ida,kentang-goreng,14000,2,50432,50772,DONE
O-000072,Dr. Jayadi Namaga,kedai-kopi,mie-ayam,13000,2,54465,54915,DONE
O-000073,"Tasnim Gunawan, S.Pd",kantin-pusat,burger-kampus,21000,2,25901,26851,DONE
O-000074,Rina Najmudin,bakso-pak-yon,sate-ayam,24000,3,36651,38951,DONE
O-000075,Cemani Mardhiyah,kedai-kopi,mie-goreng,13000,3,40731,,ANTRE
O-000076,Taufik Yuliarti,kantin-asrama,juice-alpukat,17000,2,64903,65913,DONE
O-000077,Makara Siregar,kafe-teknik,ayam-geprek,19000,2,71965,73175,DONE
O-000078,Oskar Winarsih,kedai-kopi,nasi-padang,25000,3,45310,,ANTRE
O-000079,"Aditya Hutagalung, S.IP",bakso-pak-yon,mie-goreng,13000,3,42129,44209,DONE
O-000080,"Kenzie Pudjiastuti, M.Ak",warung-bu-ida,iga-penyet,27000,2,41530,42390,DONE
O-000081,Elma Dongoran,warung-bu-ida,es-campur,12000,2,45035,46650,DONE
O-000082,Hendra Winarno,warung-bu-ida,nasi-padang,25000,2,56944,58529,DONE
O-000083,Kawaya Hutapea,bakso-pak-yon,ayam-geprek,19000,3,29704,,CANCEL
O-000084,"R.M. Liman Hastuti, S.E.",kantin-pusat,gado-gado,15000,3,45369,,CANCEL
O-000085,"Safina Firgantoro, S.E.",kafe-teknik,burger-kampus,21000,2,34587,36562,DONE
